gene_ID	0	5	10	15	20	25	30	35	40	45	50	55	60	65	70	75	80	85	90	95	100	105	110	115	120	125	130	135	140	145	150	155	160	165	170	175	180	185	190	195	200	205	210	215	220	225	230	235	240	245
SPS4	1.378	1.294	1.236	1.76	1.441	1.962	2.175	3.113	3.838	8.612	12.958	20.607	22.174	25.252	17.026	13.699	11.53	8.976	5.26	5.725	4.078	4.408	6.149	8.095	9.634	9.473	13.137	13.316	13.302	12.431	12.474	10.458	8.818	9.36	9.052	8.739	8.261	8.957	9.792	11.181	12.663	13.735	12.28	14.307	13.382	11.218	10.63	10.238	8.094	9.061
CDC20	13.214	22.164	27.5	24.779	13.727	9.007	6.094	5.049	6.384	12.329	25.757	40.149	49.731	56.12	52.215	40.432	34.156	27.21	24.032	16.771	13.847	12.082	12.823	18.153	22.984	28.543	38.284	37.496	36.067	33.617	33.997	27.652	24.968	23.707	20.738	19.796	20.592	22.916	23.912	26.336	29.312	28.621	29.192	27.769	28.743	26.204	24.709	23.303	20.974	20.243
YBR138C	2.569	5.489	4.079	3.404	3.145	3.806	5.354	7.766	10.511	15.672	21.324	24.389	26.967	29.223	22.459	19.828	12.822	10.592	8.578	7.538	7.187	9.696	11.217	11.85	17.57	17.751	20.53	18.715	16.898	15.519	15.381	12.129	12.475	10.604	11.828	12.25	13.544	13.461	15.494	14.782	18.056	15.178	15.017	15.453	14.779	11.837	13.153	12.495	11.743	12.644
TPO3	16.502	12.269	7.222	17.129	17.157	13.416	12.473	14.33	21.896	35.009	41.565	52.13	56.285	56.435	48.687	46.258	26.389	20.043	18.969	15.085	12.525	14.919	18.923	23.626	28.383	30.706	32.641	34.91	34.075	20.073	24.296	20.445	22.714	20.274	18.599	15.795	12.614	22.442	21.76	28.958	27.061	28.933	28.77	27.112	29.332	28.828	26.283	24.826	29.421	23.89
YML119W	7.18	9.309	14.45	16.234	15.757	9.019	7.449	8.265	11.212	18.85	33.774	53.48	69.194	77.791	71.251	56.114	41.227	37.301	29.416	22.34	17.86	12.676	16.486	24.208	34.27	43.986	47.284	49.02	44.323	48.979	44.701	38.565	33.62	30.701	24.245	27.105	31.683	29.179	35.678	36.574	38.401	39.278	38.935	40.927	37.858	33.061	33.004	30.454	29.447	27.912
MRH1	52.404	87.343	81.957	141.681	318.696	408.097	367.531	297.344	431.403	896.528	1715.07	2730.98	3614.48	4240.92	3743.57	3391.01	2584.57	1921.67	1446.55	1134.9	811	787.732	920.459	1277.29	1560.12	2051.85	2417.14	2714.95	2947.44	1670.49	2132.2	1811.42	1740.59	1581.51	1325.11	1049.77	677.448	1507.61	1370.49	2000.93	2109.09	2214.5	2187.63	2105.55	2166.72	2211.74	2014.77	1722.34	1952.93	1657.04
SFG1	11.553	8.637	9.633	13.717	16.082	18.684	22.75	36.213	75.643	123.274	193.544	226.452	235.9	247.739	210.351	162.067	131.261	111.325	89.724	69.455	75.75	77.63	93.301	115.733	138.571	156.497	180.604	169.369	166.845	134.697	139.092	120.581	116.218	105.686	100.74	89.186	75.212	125.076	123.793	137.868	145.481	144.305	145.081	134.145	141.066	130.75	112.683	116.948	112.651	116.807
IQG1	7.976	8.993	6.733	6.419	6.962	7.82	6.547	7.978	13.176	21.096	29.001	31.928	37.289	38.905	32.301	25.544	22.949	19.042	14.834	12.398	11.908	11.644	13.565	16.476	18.365	19.249	25.207	22.04	23.664	18.865	18.316	16.725	15.062	15.054	14.287	14.167	14.263	15.151	16.81	18.645	19.121	18.785	19.194	17.251	17.506	16.97	16.05	16.714	15.263	14.722
CLB2	2.63	4.993	4.368	7.155	12.448	12.33	15.173	34.977	59.511	90.073	110.629	122.078	137.362	139.084	103.709	73.352	59.715	42.684	36.924	32.334	34.287	35.588	46.542	66.366	73.304	76.443	88.506	79.136	83.653	47.397	56.311	46.93	47.595	45.484	44.368	33.939	27.974	55.792	51.229	64.569	70.09	66.982	64.523	56.75	55.648	54.635	51.588	51.831	52.508	51.365
MMR1	15.976	20.916	32.371	40.414	36.979	26.274	17.379	24.444	51.845	100.39	156.235	185.928	195.03	206.528	153.294	118.074	92.015	75.917	52.201	45.169	41.611	48.987	58.511	75.704	91.41	100.559	116.914	113.25	104.678	70.535	85.281	69.846	68.393	61.035	61.491	48.719	40.822	73.328	71.188	84.659	88.371	92.595	89.098	80.782	83.083	78.95	79.357	70.01	73.024	75.882
TAF2	12.142	14.185	13.458	16.634	13.029	10.02	6.332	5.564	6.469	8.913	11.877	14.576	16.741	18.045	17.377	15.572	17.384	14.386	13.923	11.653	10.894	9.168	10.564	11.132	11.617	12.223	13.799	14.087	15.08	12.253	12.708	12.588	11.592	12.183	11.66	10.164	10.366	10.517	10.719	12.417	12.684	11.606	13.248	12.951	13.045	12.648	12.483	12.408	11.379	11.573
KIN3	5.244	4.464	5.923	6.287	5.028	4.544	3.595	2.618	2.881	6.035	14.89	31.025	57.416	75.329	70.784	57.563	44.652	32.98	23.481	20.863	15.421	12.56	9.963	13.501	19.075	28.265	33.139	39.261	40.722	36.988	34.005	34.088	25.428	24.019	22.02	18.585	20.375	20.689	23.995	23.82	32.123	30.07	30.784	30.872	29.586	26.048	29.369	25.057	25.803	23.55
SKN1	28.462	44.316	34.068	36.089	28.106	17.489	11.968	10.696	13.267	16.55	22.259	34.302	42.227	46.661	45.02	39.031	35.244	31.197	26.554	23.056	21.938	17.34	19.023	22.32	24.867	30.828	33.641	31.767	33.084	22.858	27.646	25.522	27.332	25.039	23.193	17.896	14.086	21.882	20.832	24.831	27.328	24.714	25.818	24.734	29.871	28.252	29.547	29.199	26.721	26.28
PMA1	1322.45	1805.82	1572.32	1911.08	2317.86	2335.48	2386.8	2812.1	3640.4	4029.38	4588.93	5452.05	6052.28	6063.52	5061.26	4253.76	4072.55	3526.41	2959.33	2974.84	2943.01	2721	3336.36	4067.1	4052.84	4488.84	4554.75	4609.91	4767.5	2596.84	3358.12	3044.66	3170.79	3098.74	2766.41	2184.58	1419.49	3236.95	2871.22	3725.1	3852.41	3952.86	3814.58	3623.48	4240.69	4375.93	4067.92	3911.98	4332.68	3845.34
NCE102	142.702	854.971	1248.82	954.305	556.011	309.013	264.39	283.871	449.024	637.304	965.65	1341.27	1768.47	2067.74	1826.73	1798.03	1167.62	950.569	877.094	721.085	582.627	712.367	797.147	950.914	1306.09	1659.17	1753.2	1953.38	1730.1	1527.12	1445.44	1283.1	1225.51	1200.54	1134.27	1166.74	1075.29	1392.95	1398.2	1700.06	1716.69	1808.5	1701.05	1640.06	1518.24	1495.16	1434.12	1265.21	1298.36	1312.63
NDL1	52.812	40.159	38.721	38.696	35.868	18.095	14.041	10.382	9.035	8.043	8.841	16.443	42.473	60.771	55.845	53.609	45.114	38.387	34.372	30.942	23.973	22.552	18.046	17.836	28.355	33.253	36.072	42.961	40.104	54.087	48.751	42.325	42.734	32.606	34.634	38.51	40.965	35.098	40.66	37.529	40.732	43.168	44.279	50.125	39.304	40.249	44.086	35.723	34.184	33.189
OCA2	108.488	86.139	84.586	68.236	66.264	77.042	83.462	84.645	83.951	88.538	99.336	108.466	123.756	135.941	125.807	113.488	105.606	99.337	81.393	91.455	78.51	68.782	81.768	92.18	96.213	109.677	117.971	114.865	115.956	136.97	110.78	112.9	113.73	101.131	103.172	106.215	124.048	113.875	114.683	116.608	116.196	127.484	127.009	120.937	117.978	110.728	92.887	105.684	105.194	97.047
YHL026C	20.717	26.935	29.532	35.149	45.537	38.508	24.345	22.792	23.795	23.181	25.905	39.242	69.666	86.602	85.582	70.783	54.911	45.544	35.521	35.095	28.002	25.485	23.301	24.716	29.514	40.02	39.225	47.172	48.686	48.775	45.948	43.507	35.691	37.046	33.842	27.297	27.794	31.357	38.144	36.309	38.709	40.062	43.177	41.029	37.181	36.126	35.337	33.922	31.704	32.113
BUD8	14.376	18.353	14.761	13.771	14.696	16.573	17.744	26.468	27.086	33.577	38.945	42.194	42.413	42.553	38.179	25.265	25.279	20.68	19.307	20.511	22.749	22.983	24.86	28.262	27.833	31.555	28.708	27.02	24.901	23.302	23.772	25.146	22.845	20.881	21.44	20.758	19.145	23.202	23.931	23.943	24.793	24.99	24.477	23.173	23.653	23.931	24.213	23.625	23.637	24.373
MTC6	23.314	49.294	33.416	30.775	31.684	25.815	24.714	21.758	25.134	27.179	32.514	44.996	50.744	55.477	54.464	49.45	44.172	41.032	38.097	36.629	32.052	31.914	27.425	32.793	30.558	38.109	37.096	37.111	43.668	34.861	39.438	36.402	35.369	35.6	29.622	28.752	24.302	30.388	28.635	38.943	36.614	37.721	37.703	34.891	36.776	38.435	37.47	39.007	42.115	34.972
SKM1	11.234	18.377	14.487	12.252	14.99	15.899	14.266	20.711	22.588	26.342	25.712	25.045	25.366	26.816	24.115	23.513	19.53	19.213	15.998	17.425	17.279	21.611	22.06	21.587	23.895	26.761	25.435	23.349	22.579	19.091	19.995	19.6	18.11	20.824	19.044	20.49	19.675	21.335	20.722	21.098	19.854	19.95	21.906	20.917	19.502	19.634	18.022	20.26	19.35	18.98
YCR024C-B	8591.74	7621.16	3106.07	7249.82	10059.7	10676.6	9050.3	7735.97	11190.4	15025.7	20254.3	24412.9	30113.6	30875.8	26037.6	21007.1	18496.5	14468.9	11178	10225.9	11989.1	12364.1	13351.8	18689.3	19397.8	20390.5	22698.3	21795.1	21620.9	27074.8	18017.8	17236.9	14978.9	13592.3	13676.1	16925.3	24331.1	16477.4	20219.1	19892.9	19143.2	19303.6	18518.1	19051.9	17115.3	17376.3	16548.4	14016.1	16407.7	14950.4
FET3	334.419	448.105	412.478	262.524	281.181	350.602	378.633	411.794	470.185	558.277	602.386	639.224	682.862	687.167	646.095	599.891	526.218	478.516	482.015	482.722	448.762	493.579	553.11	624.24	706.953	787.271	772.513	815.311	829.258	710.256	747.115	714.543	715.168	689.941	650.784	642.028	599.005	687.592	687.519	753.93	724.321	768.003	746.342	726.933	737.639	748.765	754.791	687.347	661.738	633.471
